"","ymin_group","kids","actual_mean","optimalc_mean","optimalv_mean","mass_sum"
"217","(1.99,2.03]",4,41.2982352266959,35.5087392839015,0,0.000478401843842968
"218","(2.03,2.07]",0,9.05822205625437,0,0,0.00495234370580329
"219","(2.03,2.07]",1,21.7485344481266,0,0,0.001428244448361
"220","(2.03,2.07]",2,28.2565683937508,0,0,0.00151359562940688
"221","(2.03,2.07]",3,34.7964533454538,0,0,0.000774921185482687
"222","(2.03,2.07]",4,41.152654547462,35.6477866725553,0,0.000448619424636474
"223","(2.07,2.11]",0,9.08100338163029,0,0,0.00475361790069845
"224","(2.07,2.11]",1,20.7961511315852,0,0,0.00134025534348004
"225","(2.07,2.11]",2,27.5454138631842,0,0,0.0014564675555367
"226","(2.07,2.11]",3,34.2415940343927,0,0,0.000743837724375359
"227","(2.07,2.11]",4,40.7668709253782,30.7730055979042,0,0.000425386925575203
"228","(2.11,2.16]",0,9.10686643687107,0,0,0.00454539900629542
"229","(2.11,2.16]",1,20.3431896516559,0,0,0.0013094280387063
"230","(2.11,2.16]",2,27.1106296427228,0,0,0.00138057374151243
"231","(2.11,2.16]",3,33.9418945702565,0,0,0.00069158585251074
"232","(2.11,2.16]",4,40.5792332916048,30.7783813933879,0,0.000403917904018991
"233","(2.16,2.2]",0,9.1147668583252,0,0,0.00442489661625343
"234","(2.16,2.2]",1,19.9521646887985,0,0,0.00121000292568367
"235","(2.16,2.2]",2,26.7378633804562,0,0,0.00132245371297739
"236","(2.16,2.2]",3,33.7254790765732,0,0,0.000670689634374246
"237","(2.16,2.2]",4,40.4075750614745,7.29832502911952,0,0.00038081426329482
"238","(2.2,2.24]",0,9.15299301728846,0,0,0.00414552416532576
"239","(2.2,2.24]",1,19.431427371957,0,0,0.00118158072051961
"240","(2.2,2.24]",2,26.3828168455737,0,0,0.00127264676633843
"241","(2.2,2.24]",3,33.3992999731946,0,0,0.000627027764271924
"242","(2.2,2.24]",4,40.1835500398194,0,0,0.000366774970135191
"243","(2.24,2.29]",0,9.21949522590124,0,0,0.00398818449223904
"244","(2.24,2.29]",1,18.5604461356928,0,0,0.00109934299685627
